before_id,after_id,iou,status,area_before_px,area_after_px,pct_change,semantic_change,before_exg,after_exg,before_g_r,after_g_r
70,13.0,0.0573652945458889,weak_match,3959,1467,-0.6294518817883303,BARE_SOIL -> VEGETATION,9.217731475830078,99.64144134521484,-32.770145416259766,52.143829345703125
71,107.0,0.1425478160381317,weak_match,2424,928,-0.6171617161716172,VEGETATION -> VEGETATION,74.42491912841797,80.85344696044922,34.74340057373047,33.993534088134766
72,105.0,0.0,weak_match,263,6,-0.9771863117870723,VEGETATION -> VEGETATION,27.77186393737793,30.0,-10.653992652893066,-13.833333015441895
73,171.0,0.17191563546657562,weak_match,2839,1431,-0.49594927791475873,VEGETATION -> VEGETATION,66.0369873046875,30.85883903503418,30.70376968383789,8.308176040649414
74,3.0,0.0,weak_match,4,17,3.25,VEGETATION -> VEGETATION,53.5,74.76470947265625,20.0,34.117645263671875
75,109.0,0.0,weak_match,6,523,86.16666666666667,VEGETATION -> VEGETATION,55.5,95.54492950439453,13.5,47.2504768371582
77,110.0,0.0,weak_match,547,4,-0.9926873857404022,BARE_SOIL -> VEGETATION,12.967093467712402,67.75,-30.815357208251953,29.75
78,141.0,0.6663661003112793,matched_same,877,1132,0.29076396807297605,BARE_SOIL -> VEGETATION,15.583808898925781,94.44434356689453,-19.401369094848633,50.396644592285156
79,168.0,0.388999342918396,possible_change,1517,737,-0.5141727092946605,BARE_SOIL -> VEGETATION,12.675675392150879,62.27815628051758,-28.203031539916992,16.565807342529297
80,163.0,0.3086288571357727,possible_change,10553,3456,-0.6725101866767744,VEGETATION -> VEGETATION,75.74774932861328,51.75,34.46963119506836,15.556134223937988
81,60.0,0.0,weak_match,4,791,196.75,VEGETATION -> VEGETATION,72.75,39.26548767089844,28.25,-2.493046760559082
82,28.0,0.4758816361427307,possible_change,9345,5670,-0.39325842696629215,BARE_SOIL -> BARE_SOIL,9.79582691192627,1.8183422088623047,-28.922311782836914,-43.91516876220703
83,115.0,0.0,weak_match,221,1042,3.7149321266968327,BARE_SOIL -> VEGETATION,13.800905227661133,33.81861877441406,-31.013574600219727,-0.11516314744949341
85,116.0,0.0,weak_match,4460,41,-0.9908071748878924,VEGETATION -> VEGETATION,72.29820251464844,89.0243911743164,31.91748809814453,39.07316970825195
86,118.0,0.0,weak_match,1902,695,-0.6345951629863302,VEGETATION -> VEGETATION,46.122501373291016,99.61870574951172,7.258149147033691,52.4330940246582
87,48.0,0.0,weak_match,3033,3062,0.009561490273656445,BARE_SOIL -> BARE_SOIL,0.028354763984680176,-7.193664073944092,-40.72799301147461,-46.01665496826172
88,34.0,0.14618973433971405,weak_match,498,288,-0.42168674698795183,VEGETATION -> BARE_SOIL,73.3935775756836,18.40277862548828,30.495983123779297,-29.12152862548828
